depth	num_sites	timing_seconds
30	100	14
30	1000	27
30	10000	153
30	100000	1438
30	1000000	14156
60	100	14
60	1000	29
60	10000	162
60	100000	1454
60	1000000	13897
90	100	14
90	1000	29
90	10000	169
90	100000	1460
90	1000000	14453
120	100	14
120	1000	29
120	10000	176
120	100000	1491
120	1000000	14357
150	100	14
150	1000	30
150	10000	182
150	100000	1508
150	1000000	14331
180	100	14
180	1000	30
180	10000	185
180	100000	1516
180	1000000	14905
210	100	14
210	1000	30
210	10000	191
210	100000	1521
210	1000000	14819
240	100	14
240	1000	30
240	10000	189
240	100000	1526
240	1000000	15206
270	100	14
270	1000	30
270	10000	190
270	100000	1530
270	1000000	15371
300	100	14
300	1000	30
300	10000	192
300	100000	1581
300	1000000	15598
